"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","QC"," 45°28'00.000"" N"," 73°45'00.000"" W","36.0 m","7025250","71627","YUL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.03","0.10","0.13","0.10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.53","A"
"Days with Precipitation"
">= 0.2 mm","16.7","13.7","13.6","12.9","13.6","13.3","12.3","11.6","11.1","13.3","14.8","16.3","163.3","A"
">= 5 mm","4.6","3.8","4.5","5.3","5.1","5.0","5.2","5.4","4.9","5.0","5.9","5.3","59.9","A"
">= 10 mm","2.4","2.2","2.2","2.7","2.8","2.9","2.8","3.4","2.6","2.8","3.1","3.0","32.9","A"
">= 25 mm","0.43","0.10","0.30","0.52","0.47","0.73","0.77","0.80","0.83","0.73","0.73","0.50","6.9","A"
"Days with Snow Depth"
">= 1 cm","28.7","26.4","20.0","2.6","0.0","0.0","0.0","0.0","0.0","0.13","5.0","21.2","104.1","A"
">= 5 cm","23.6","20.9","15.0","1.3","0.0","0.0","0.0","0.0","0.0","0.0","2.2","16.5","79.6","A"
">= 10 cm","15.5","14.1","11.2","0.80","0.0","0.0","0.0","0.0","0.0","0.0","0.67","10.3","52.5","A"
">= 20 cm","5.2","7.4","6.0","0.27","0.0","0.0","0.0","0.0","0.0","0.0","0.10","2.4","21.3","A"
"Wind"
"Speed (km/h)","16.0","15.5","15.6","15.9","14.6","13.2","12.4","11.8","12.6","14.2","15.3","15.6","14.4","A"
"Most Frequent Direction","W","W","W","W","SW","SW","SW","SW","W","W","W","W","W","A"
"Maximum Hourly Speed (km/h)","90.0","80.0","74.0","70.0","72.0","66.0","58.0","55.0","65.0","72.0","76.0","72.0","90.0",""
"Date (yyyy/dd)","1959/22","1961/26","1971/04","1977/03","1964/09","1972/22","1956/11","1965/06","2005/29","1979/06","1975/10","2000/18","1959/22"," "
"Direction of Maximum Hourly Speed","SW","N","NE","W","W","NE","W","N","SW","SW","W","W","SW",""
"Maximum Gust Speed (km/h)","117.0","138.0","161.0","106.0","103.0","111.0","126.0","105.0","97.0","117.0","113.0","103.0","161.0",""
"Date (yyyy/dd)","1959/22","1956/25","1964/05","1975/19","1956/14","1957/29","1975/02","1966/09","1956/06","1979/06","1989/16","1971/11","1964/05"," "
"Direction of Maximum Gust","SW","W","S","W","W","S","W","S","W","SW","S","W","S",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.2","3.4","7.9","5.0","1.1","0.0","0.0","0.0","17.6","A"
"Above 18 °C","0.0","0.0","0.0","0.6","10.0","52.8","104.3","81.2","21.4","0.8","0.0","0.0","271.2","A"
"Above 15 °C","0.0","0.0","0.0","2.8","30.9","115.0","191.7","159.4","58.8","4.9","0.0","0.0","563.5","A"
"Above 10 °C","0.0","0.0","0.5","19.6","116.8","255.6","346.3","311.9","171.5","35.1","2.7","0.1","1260.0","A"
"Above 5 °C","0.5","0.9","7.3","79.5","258.3","405.4","501.3","466.9","317.1","121.2","24.4","1.8","2184.5","A"
"Above 0 °C","6.6","9.3","45.9","198.2","412.8","555.4","656.3","621.9","467.0","263.1","96.0","16.7","3349.3","A"
"Below 0 °C","310.3","226.7","108.6","5.4","0.0","0.0","0.0","0.0","0.0","0.2","32.2","183.4","866.8","A"
"Below 5 °C","459.1","359.4","225.0","36.8","0.5","0.0","0.0","0.0","0.1","13.3","110.6","323.4","1528.3","A"
"Below 10 °C","613.7","499.7","373.2","126.9","14.0","0.2","0.0","0.0","4.5","82.1","239.0","476.7","2430.0","A"
"Below 15 °C","768.7","640.9","527.7","260.0","83.1","9.6","0.4","2.5","41.8","207.0","386.2","631.7","3559.6","A"
"Below 18 °C","861.7","725.6","620.7","347.9","155.2","37.4","6.0","17.4","94.4","295.9","476.2","724.7","4363.0","A"
"Evaporation"
"Lake Evaporation (mm)","","","","","4.2","4.6","4.6","3.8","2.6","1.7","","","",""
"Bright Sunshine"
"Total Hours","101.2","127.8","164.3","178.3","228.9","240.3","271.5","246.3","182.2","143.5","83.6","83.6","2051.3","D"
"Days with measurable","21.2","21.8","25.6","25.3","28.3","28.2","30.0","29.6","26.8","26.5","21.0","20.9","305.2","D"
"% of possible daylight hours","35.7","43.7","44.6","44.0","49.6","51.3","57.3","56.3","48.3","42.2","29.2","30.7","44.4","D"
