YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1938,496.4400000000001,,149.34000000000006,356.7299999999999,278.32,823.7099999999998,107.55999999999999,236.0199999999999,115.58999999999995,517.8299999999998,299.9200000000001,,425.67,1145.1600000000003,523.1799999999998,223.17000000000002,583.0599999999997,393.49,44.77,509.67,159.06000000000006,229.97,1505.4999999999995,256.19999999999993,0.0,525.47,1119.7600000000002,209.0600000000001,,341.34,716.9799999999999,628.8900000000001,518.8399999999999,1383.3700000000003,863.4500000000002,694.2700000000001,116.62000000000003,121.89,1329.75,35.94999999999999,373.40000000000015,212.45999999999998,403.6499999999999,95.33999999999995,1808.86,1652.6399999999999,475.81000000000006,112.22999999999999,595.16,2348.05,360.59000000000015
1939,182.63999999999984,,144.02,123.51000000000003,939.4799999999998,525.2100000000002,937.5399999999997,94.63000000000001,497.41999999999996,157.53,115.95,,694.1499999999999,100.12000000000002,59.79000000000001,209.13,158.20999999999998,79.77999999999997,157.02999999999992,271.0900000000001,852.9199999999997,546.1899999999999,328.17,655.68,0.0,76.60999999999997,1973.32,276.00999999999976,,133.98999999999998,104.83000000000001,316.10000000000014,331.36,664.5000000000001,843.2099999999996,74.00000000000003,194.43999999999997,219.8,186.56999999999996,416.8499999999999,60.33999999999998,1173.7800000000002,108.42999999999992,115.97999999999999,1002.2299999999998,1029.1899999999998,394.23999999999995,1158.1599999999999,99.06999999999995,768.0400000000001,1392.34
1940,115.12000000000002,,339.05999999999995,72.0,376.4400000000001,231.80000000000007,376.52000000000015,36.040000000000006,126.9900000000001,114.18999999999994,93.83999999999995,,337.5299999999999,84.13999999999999,16.650000000000002,212.60000000000005,450.29999999999995,97.62,47.78,837.7399999999998,233.84000000000015,498.7200000000001,299.7,300.30999999999995,0.0,15.55,476.48000000000025,129.04000000000002,0.0,147.66000000000005,301.9899999999999,216.6299999999999,212.22999999999996,210.26999999999992,149.05000000000007,22.400000000000002,60.40000000000005,671.1199999999999,148.62,467.71999999999974,32.32000000000001,253.82999999999996,95.17000000000003,249.87999999999997,1363.2199999999996,241.07000000000002,203.84000000000003,919.5900000000001,29.79000000000001,636.4500000000004,393.6
1941,297.47000000000014,,615.2899999999997,273.88999999999993,174.41999999999996,661.7499999999999,364.5700000000001,1268.3499999999992,488.18999999999994,459.75999999999993,294.1200000000003,,102.03000000000003,613.1400000000001,381.6299999999999,197.87000000000003,764.47,610.5000000000003,35.00999999999996,557.6999999999999,384.3299999999998,474.01000000000005,1119.5000000000007,35.339999999999996,0.0,175.17000000000007,161.21,34.6,275.84000000000003,201.98000000000002,1044.5400000000002,778.1000000000004,789.51,658.4000000000002,223.20000000000002,1132.7699999999995,88.77999999999999,607.5099999999999,1011.3199999999999,57.669999999999995,481.97000000000014,61.33999999999997,278.13,308.34,281.0899999999999,384.64000000000004,1035.2799999999997,118.23000000000005,592.2399999999999,993.0699999999999,381.72999999999985
1942,126.14999999999995,,740.8300000000003,232.69999999999996,1222.0099999999995,505.49000000000007,587.8799999999999,90.16000000000004,190.76000000000002,189.61000000000004,168.74,,395.08000000000004,132.68999999999997,94.99000000000001,254.79,535.23,84.08000000000003,123.74000000000007,540.6100000000001,535.19,564.8900000000001,168.34999999999994,567.7300000000001,0.0,178.7100000000001,588.4800000000002,428.55,811.6899999999997,167.14000000000001,322.09999999999997,315.63999999999993,191.24,564.8599999999999,274.07999999999987,127.08,260.91999999999996,499.14000000000004,380.4199999999999,609.2499999999999,218.2299999999999,143.09000000000003,106.34,517.23,2589.0599999999995,1071.2900000000004,177.58999999999992,645.6399999999999,303.7900000000003,781.7900000000001,635.27
1943,130.82000000000002,,172.43999999999997,162.60000000000008,340.06,976.9699999999999,550.3800000000001,564.55,234.27000000000004,68.56999999999998,126.45,,650.9000000000003,328.4500000000001,262.9999999999999,242.79999999999998,547.8399999999998,383.79,106.44000000000004,297.99000000000007,196.78,752.1699999999997,765.18,398.00999999999993,,196.0800000000001,1122.0600000000002,401.02,397.32,211.1800000000001,927.1399999999998,105.71000000000002,478.18,165.96000000000004,798.5300000000001,276.40999999999997,76.06000000000004,693.95,563.08,296.38999999999993,153.6599999999999,507.31,194.95,233.4200000000001,1211.27,2323.7299999999996,341.34000000000003,765.0699999999999,133.74999999999997,1290.5400000000004,1088.6099999999997
1944,252.86999999999998,,736.7099999999999,207.51,599.9699999999999,556.4900000000002,493.49999999999983,138.39999999999998,310.09000000000015,189.74,171.50999999999996,,182.33999999999995,239.78999999999996,149.11000000000004,201.37999999999997,551.6200000000001,86.50000000000001,104.0,611.07,613.7800000000002,433.3800000000001,466.94000000000005,770.5299999999999,0.0,155.96,720.7899999999998,186.1300000000001,244.43000000000004,126.00999999999993,658.6599999999995,303.7299999999999,334.85,671.48,644.3599999999998,557.9300000000002,166.8,239.87000000000006,256.55999999999995,535.99,363.59999999999997,258.73000000000013,184.3799999999999,542.2,200.67000000000002,751.4600000000002,475.4199999999998,264.04,497.22000000000025,1407.9099999999999,728.0799999999998
1945,27.329999999999984,,93.74000000000002,69.50000000000001,339.44000000000005,95.91000000000001,170.20000000000005,96.85999999999996,39.58999999999999,39.62999999999998,27.53000000000001,,259.93,103.25,33.51,61.40000000000002,95.98000000000002,61.13,41.14999999999997,61.28999999999999,87.39999999999995,186.65999999999994,121.23999999999998,62.95999999999998,0.0,30.220000000000006,175.29,71.56999999999998,71.80000000000001,33.89999999999999,78.87,67.89999999999999,52.41000000000001,72.50000000000001,64.10999999999997,49.82000000000001,51.13,156.32000000000002,127.30999999999999,55.54000000000003,78.91000000000001,100.62999999999998,65.79999999999997,188.8599999999999,746.0999999999999,179.95999999999998,64.45,291.67999999999995,79.63999999999999,165.52,157.5799999999999
1946,126.74999999999997,,498.69000000000005,168.4699999999999,575.1599999999999,992.7400000000004,397.9099999999999,198.98000000000005,465.9200000000002,116.89,117.11000000000001,,433.5999999999999,298.12000000000023,293.0500000000001,160.44000000000003,658.17,269.63000000000005,126.32000000000004,578.0000000000001,488.4300000000002,798.36,627.9300000000001,44.78999999999999,,166.93000000000012,422.64999999999986,395.65000000000026,125.90000000000002,226.70999999999995,1151.7500000000002,215.40999999999997,600.8199999999998,225.15999999999994,40.84,200.42999999999995,188.96999999999997,453.3700000000001,611.47,160.60999999999996,358.19000000000005,189.6899999999999,150.46999999999989,410.13000000000005,1244.5700000000004,858.63,385.83,513.61,140.55999999999995,1333.6000000000001,397.5900000000001
1947,127.25999999999995,,224.49000000000015,130.60999999999996,74.97999999999995,142.93,814.9199999999998,19.409999999999997,60.150000000000006,53.099999999999994,102.39000000000007,,51.13000000000001,91.44999999999999,60.92999999999999,177.89000000000004,48.12,30.119999999999994,49.95999999999998,504.5800000000002,50.880000000000024,252.7,148.06,319.35,14.960000000000004,33.55,843.3600000000001,37.400000000000006,18.450000000000003,61.040000000000006,250.71000000000004,226.77999999999997,107.99999999999999,127.62999999999995,236.08,239.44999999999996,10.790000000000006,71.91000000000001,113.40999999999998,507.3399999999999,161.85999999999999,218.29999999999998,60.99999999999999,109.48,99.24000000000002,1348.8300000000002,242.18000000000004,63.82000000000004,143.61999999999998,383.1399999999999,170.19
